Lag (k),Autocorrelation (ACF_k)
0,1.0
1,0.7921424684381865
2,0.6408679320075724
3,0.5067877616117856
4,0.3779978736014719
5,0.3205808489060816
6,0.22231674690547312
7,0.1766886546353873
8,0.15737918821411057
9,0.11387373573031097
10,0.07395379891389357
11,0.004433520750408948
12,-0.08775871798498804
13,-0.059718323332848426
14,0.023863791133483962
15,0.08562733877911856
16,0.08423046295667343
17,0.0016068618017216325
18,-0.07004445261362952
19,-0.15200647983406498
20,-0.22568410328606095
21,-0.2056534644732564
22,-0.18715322382226998
23,-0.11353076719947576
24,-0.015233500653746141
25,0.08422982674778391
26,0.12582067799073068
27,0.10205818291893297
28,0.09806234323484206
29,0.1677667637508608
30,0.21644954005290024
31,0.21433361893915054
32,0.21525669982358356
33,0.11563130312383692
34,-0.03475215106908104
35,-0.08764421884191667
36,-0.16510097183279224
37,-0.2536633564586996
38,-0.23966579855844347
39,-0.22486531743725793
40,-0.19744016074524615
41,-0.18421318619124447
42,-0.2830590328873452
43,-0.2895075051486257
44,-0.3896525130711663
45,-0.4139579181631872
46,-0.3758594843829063
47,-0.41903441286128773
48,-0.4480251073390871
49,-0.4995070972266048
50,-0.5063596200481274
51,-0.4934685655191037
52,-0.4600530782952413
53,-0.4123468304087003
54,-0.29714901310813713
55,-0.2470237350782409
56,-0.11741630817850503
57,-0.010773516635937458
58,-0.05037089746763714
59,-0.04698642586283066
60,-0.07833206506110882
61,-0.007969169032430586
62,0.03231395879487596
63,-0.04058852754733704
64,0.033877900690275305
65,0.07318270592353097
66,0.11150532366240572
67,0.13977801667414053
68,0.21697406067735325
69,0.27452584331541846
70,0.27291876056711845
71,0.26548546053532013
72,0.21731343524700641
73,0.1054770561578852
74,-0.0019034635710397378
75,-0.1121098808158873
76,-0.20692226514461437
77,-0.3039150330401027
78,-0.30434678432264817
79,-0.33898829799503444
80,-0.4486259632025274
81,-0.514479380999446
82,-0.4567676985842344
83,-0.3227522606197516
84,-0.24114948048416143
85,-0.19018228789941638
86,-0.06270410225049235
87,0.033174193398910805
88,0.08792967071895158
89,0.09653733459857505
90,-0.06928013106642407
91,-0.179539844459199
92,-0.1939690502696173
93,-0.07438845052188278
94,0.06317868249612671
95,0.12726615399632546
96,0.08552215765820459
97,0.49069670351657346
98,0.6894292376977654
99,0.09223240107728967
